int	string	string[]	int	int[]	int[][]	int[][]	int	int	int	int	int	int[][]	int[]	enum.EMechaRepetitionLimitMode	int	enum.ESpawnType	int[][]	int[][]	int	string	int	int	int	bool	int	bool	int	int	bool	int[]	int	bool	int	int	string	bool	string	int	int	int[]	bool	bool	int[][]	int[]	int	int[]	bool	int	int[]	int[]	int	bool	bool	bool	string	int	int	int	bool
PKEY1														Unlimit-1,Force-2,Battle-3		PlayerRandom-1,ForceRandom-2,PlayerSelect-3,PlayerSelectRandom-4																																											
Id	名称	场景Key\n\n备注：\n场景Key数组，逗号分开，表示每个回合对应的场景Key\n如果数组元素大小比最大回合数小，则后面的回合会用最后一个场景。	玩法主线	阵营小队数\n\n备注：\n填写每个阵营下，小队的数量。\n例如1：有1个小队。所以该阵营的玩家数量就等于1个小队的人数	势力ID列表	势力包含的阵营配置\n\n\n备注：\n这里是该玩法的一局游戏中，每个阵营的势力归属关系。\n这里填写的数字是阵营序号，按照顺序分别对应势力。不同的势力用“|”隔开，相同势力下的不同阵营用“,”隔开。 \n例如1,2|3。表示阵营1、阵营2会是同属于一个势力的，而阵营3会是另一个势力的。\n在下一列的对战顺序配置中，无论每个回合如何交换势力，阵营1、2都会在同一方，阵营3都会在另一方。本质是阵营1、2共同对抗阵营3的玩法关系。	胜利所需回合数\n	胜利所需的累计胜利比分\n\n\n备注：\n如果胜利规则是取决于“胜利回合数”，这里填写0即可，表示不看累计胜利比分。\n如果胜利规则是取决于“累计胜利比分”，这类填写需要达到的比分。此时不看胜利回合数。	胜利比分初始值\n\n备注：\n填写本局游戏，每个回合开始时的胜利比分初始值（胜利比分不累计的情况下）。\n如果“胜利所需的累计胜利比分”，填0，代表胜利比分不累计，则每个回合开始时，胜利比分都会重置到初始值；\n如果”胜利所需的累计胜利比分“填的是大于0的值，代表胜利比分累计，则每个回合开始时，胜利比分不会重置，无视这列的数据。	最大回合数（待确认）	整局游戏的胜利条件\n\n\n备注：\n1：已达到指定的胜利回合数的阵营，获胜。 \n2：累计的胜利比分，已达到指定值的阵营，获胜。	每个回合的对战顺序配置\n\n备注：\n因为部分玩法中，不同的回合会交换阵营双方的势力关系。所以这里是该玩法的一局游戏中，每个回合的势力内各阵营的关系。\n这里填写的数字，是对应前一列的关系配置，按照顺序分别对应势力。\n不同的关系配置用“,”隔开，不同的回合用“;”隔开。\n例如1,2| 2,1| 1,2。表示第一回合中，关系配置1（阵营1、阵营2）在势力1，关系配置2（阵营3）在势力2；第二回合中，关系配置2在势力1，关系配置2在势力2。以此类推。	角色限制\n\n备注：填写本玩法中，可以出场的机甲的ID。\n机甲的ID引用Mechas.xlsx表中的ID。	角色重复限制\n\n备注：\nUnlimit：无限制\nForce：计算自己势力的角色重复\nBattle：计算局内所有玩家的角色重复	每台机甲重复数量限制	出生区域类型\n\n备注：\n1：个人随机点位出生\n2：团队随机点位出生\n3：手选点位出生	各势力的出生点id\n（开发了，但要确定在何处引用出生点ID）\n\n备注：\n引用哪里的出生点ID？\n\n出生点id是对应到每一个出生点。\n“|”区分不同势力，“,”区分不同出生点。\n举例：201,202,203| 211,212,213\n势力1有3个出生点201、202、203。\n势力2有3个出生点211、212、213.	地图区域出生点Id	选机甲和选出生区域阶段时间\n\n备注：\n单位：秒。	生效时间	玩法介绍说明id\n\n备注：\n引用到Introduce.xlsx表中的id。	结算类型\n\n结算不同玩法显示不同的结算界面。需要引用SettlementPage表的id	Tab页类型\n\nTab页不同玩法显示不同的Tab界面。需要引用Tab表的id(0代表不显示Tab)	是否启动个人独立的局前准备	房间无人时，多少时间后关闭房间,单位秒	是否单机	观战人数(自定义房间用）	最大观战人数	是否客户端可见	显示在局外战报界面的坐标	模式ID(对应MatchMode的ID)	是否开启语音	准备确认时间	预览图(UIImage里的ID)	作战时长	是否确认进入关卡	玩法介绍	玩法图标	自定义房间排序优先级	自定义房间支持的AI列表	试用机甲	自定义房间是否随机小队ID	AI选机甲序列	检查间隔	AI单边限制	AI人机互斥机甲	显示任务界面	玩法线框图	战斗统计类型	战斗统计范围	单人退出后处理	是否允许更换机甲	是否允许更换武装	是否保存数据到局外	教学视频路径	可投降时间	发起投降CD	投降公示时长	是否支持个人结算
Id	Name	SceneKeys	MainLine	CampSquadNumber	ForceIds	CampForRound	RoundsForWin	ScoresForWin	InitScoreOfRound	MaxRound	WinCondition	CompetePerRound	MechasLimit	MechaRepetitionLimitMode	MechaRepetitionLimitCount	SpawnType	SpawnPointsForRoundTurn	mapLogicSpawnPointId	PrepareTime	ActiveDate	DescId	SettlementType	TabType	IndependentPrepare	NonePlayerDestoryRoomTime	SinglePlay	OBCount	OBMaxCount	IsShowInClient	WarReportPos	MatchModeID	Voicestatus	PrepareConfirmTime	PreviewImageId	BattleTime	IsConfirmToStart	Introduce	BigPreViewImageId	CustomSortPriority	CustomRoomAIMechaIds	Approval	IsSquadIdRandom	AIMechas	AICheckLimitTime	AIMechasLimit	AIMutuallyExclusiveList	IsShowQuestView	WireframesImageId	BattleRecordNpcType_Key	BattleRecordNpcType_Value	actionAfterPersonQuit	openMechaChange	openEquipMecha	saveDataToLobby	teachVideoPath	surrenderStartTime	surrenderCd	surrenderShowTime	personalSettle
3	克拉奥布天坑白盒	DiePlayMode	1	1,1	1|2|3	1|2	1	0	0	1	1	1,2		1	2	1	1,2,3,4,5,6|11,12,13,14,15,16		40	1994/4/12,2022/4/12	1101	1	8	False	-1	False	3	9	True		20	True	3	10005	12分钟	False	“破界者”须依次争夺并守住三处实验据点，以回收研究数据。率先完成数据回收，或在区域关闭时处于领先地位，即可破解防御系统，获得区域掌控权。	14008	30	10001,10002,10003,10004,10005,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		True	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
4	3V3 虚拟对战_冰谷	3v3IceFight	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		5	True	3	10002	6分钟	False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
6	行为树测试	GKCS	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	3	1	1,2,7|8,9,10		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	False		5	True	3	10002	6分钟	False		14001	0		False	False			0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
7	据点争夺战	StrongHold	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	28,32,33,37,38,39|34,35,36,40,41,42		40	1994/4/12,2022/4/12	1101	1	1	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
8	核心保卫战	CoreDefenceMode	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	28,32,33,37,38,39|34,35,36,40,41,42		40	1994/4/12,2022/4/12	1101	1	6	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
9	列车护卫模式	ProSSMode	1	1,1	1|2	1|2	1	0	0	1	1	1,2		1	2	1	54,55,56,57,58,59|48,49,50,51,52,53		40	1994/4/12,2022/4/12	1101	1	6	False	-1	False	3	9	True		0	True	3	10002		False		14001	0		False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10901|11201|10102|10202|10302|10402|10502|10902|11202		0		False	90002	11	1	3	False	False	False	Vedio/cairoTeaching.mp4	0	0	0	
10	密斯之眼争夺战	Art_Cairo	1	1,1	1|2	1|2	1	0	0	1	1	1,2	10001,10002,10003,10004,10005,10007,10009,10012	1	2	1	20,21,23,24,25,26|2,40,41,17,18,19		40	1994/4/12,2022/4/12	1101	1	2	False	-1	False	3	9	True	-126,-301	3	True	3	10001	15分钟	False	“破界者”须从三处EIC设施获取密钥，并将密钥转运至中央矿井。率先完成运输，或在区域关闭时处于领先地位，即可获得中央矿井控制权。	14004	20	10001,10002,10003,10004,10005,10007,10009,10012	False	False	10100|10200|10300|10400|10500|10900|11200|10101|10201|10301|10401|10501|10700|10901|11201|10102|10202|10302|10402|10502|10902|11202	2,5	2	10005	True	90001	11	1	3	False	False	False	Vedio/LevelTeaching/Maps01_Batch.mp4	360	90	5	
